0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.562	2.499	2.240	2.044	1.883	1.757	1.715	1.652	1.540	1.463	1.393	1.302	1.232	1.197	1.141	1.092	1.057	1.022	1.015	1.001	0.966	0.938	0.903	0.889	0.868	0.868	0.861	0.833	0.812	0.812	0.791	0.770	0.756	0.735
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.443	2.212	2.023	1.883	1.736	1.694	1.624	1.540	1.449	1.386	1.316	1.218	1.169	1.141	1.092	1.050	1.015	0.987	0.980	0.966	0.931	0.903	0.875	0.861	0.840	0.833	0.833	0.812	0.784	0.784	0.770	0.749	0.735
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.429	2.212	2.016	1.883	1.729	1.624	1.596	1.540	1.449	1.372	1.316	1.246	1.162	1.127	1.092	1.043	1.008	0.973	0.945	0.945	0.931	0.903	0.875	0.847	0.833	0.812	0.805	0.805	0.784	0.763	0.756	0.749	0.728
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.380	2.219	2.016	1.855	1.722	1.610	1.582	1.519	1.442	1.365	1.309	1.246	1.169	1.113	1.085	1.043	1.001	0.973	0.938	0.917	0.910	0.903	0.868	0.847	0.819	0.805	0.791	0.777	0.777	0.763	0.749	0.735	0.728
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.219	2.205	1.995	1.841	1.722	1.596	1.512	1.491	1.442	1.358	1.295	1.239	1.183	1.099	1.064	1.043	1.001	0.959	0.938	0.903	0.889	0.882	0.868	0.840	0.819	0.798	0.777	0.770	0.756	0.756	0.749	0.728	0.714
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.156	1.988	1.834	1.722	1.596	1.505	1.477	1.421	1.358	1.288	1.239	1.183	1.127	1.057	1.022	1.001	0.959	0.924	0.903	0.875	0.861	0.854	0.840	0.819	0.798	0.770	0.756	0.749	0.728	0.735	0.728	0.707
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.156	1.995	1.834	1.694	1.589	1.484	1.428	1.400	1.358	1.288	1.218	1.176	1.127	1.064	1.015	0.987	0.959	0.924	0.896	0.868	0.847	0.833	0.826	0.819	0.791	0.770	0.749	0.735	0.728	0.707	0.707	0.707
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.100	2.002	1.820	1.687	1.589	1.477	1.407	1.386	1.337	1.288	1.218	1.169	1.127	1.078	1.001	0.973	0.959	0.924	0.889	0.868	0.840	0.819	0.812	0.805	0.791	0.770	0.749	0.728	0.714	0.707	0.693	0.686
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.960	1.960	1.806	1.680	1.582	1.477	1.393	1.351	1.323	1.281	1.218	1.155	1.120	1.078	1.029	0.966	0.938	0.924	0.889	0.861	0.840	0.812	0.791	0.791	0.777	0.770	0.749	0.728	0.707	0.693	0.686	0.672
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.939	1.813	1.680	1.561	1.477	1.379	1.323	1.309	1.267	1.218	1.155	1.113	1.071	1.029	0.973	0.938	0.910	0.889	0.861	0.826	0.812	0.784	0.770	0.770	0.756	0.749	0.728	0.707	0.693	0.672	0.672
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.939	1.820	1.673	1.554	1.477	1.379	1.316	1.288	1.246	1.218	1.155	1.106	1.071	1.029	0.987	0.924	0.903	0.882	0.861	0.826	0.798	0.784	0.763	0.749	0.749	0.735	0.728	0.707	0.693	0.672	0.658
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.876	1.806	1.659	1.554	1.463	1.379	1.295	1.246	1.232	1.197	1.155	1.099	1.057	1.022	0.987	0.945	0.896	0.868	0.854	0.826	0.798	0.777	0.763	0.742	0.728	0.728	0.721	0.707	0.686	0.672	0.658
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.743	1.764	1.659	1.554	1.449	1.379	1.295	1.239	1.225	1.183	1.155	1.099	1.050	1.022	0.987	0.945	0.896	0.868	0.840	0.826	0.798	0.777	0.756	0.742	0.721	0.707	0.707	0.700	0.686	0.672	0.658
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.764	1.666	1.547	1.442	1.379	1.295	1.218	1.176	1.169	1.141	1.099	1.050	1.008	0.980	0.945	0.910	0.854	0.840	0.819	0.798	0.777	0.749	0.735	0.721	0.700	0.686	0.693	0.686	0.672	0.651
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.764	1.666	1.533	1.442	1.358	1.295	1.218	1.176	1.169	1.127	1.099	1.050	1.008	0.973	0.945	0.910	0.875	0.833	0.805	0.798	0.777	0.749	0.728	0.714	0.700	0.679	0.672	0.672	0.665	0.651
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.694	1.638	1.533	1.442	1.351	1.295	1.218	1.162	1.120	1.113	1.085	1.050	1.008	0.966	0.945	0.910	0.875	0.833	0.805	0.784	0.777	0.749	0.728	0.707	0.700	0.679	0.665	0.658	0.658	0.651
